element,sp_num,obs_wl_air(nm),intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"Ca,1,""=""""227.546"""""",""=""""6"""""",""=""""9.03e+07"""""",C+,""=""""0.0000000"""""",""=""""5.4470569"""""",""=""""3p6.4s2"""""",""=""""1S"""""",""=""""0"""""",""=""""3p6.4s.np"""""",""=""""w 1P*"""""",""=""""1"""""",1,3,,""=""""T134n,T654n"""""",""=""""L6097"""""","
"Ca,1,""=""""239.856"""""",""=""""8"""""",""=""""5.01e+07"""""",C+,""=""""0.0000000"""""",""=""""5.1675384"""""",""=""""3p6.4s2"""""",""=""""1S"""""",""=""""0"""""",""=""""3p6.4s.6p"""""",""=""""1P*"""""",""=""""1"""""",1,3,,""=""""T134n,T654n"""""",""=""""L6097"""""","
"Ca,1,""=""""362.411"""""",""=""""15"""""",""=""""6.36e+07"""""",C+,""=""""1.8793402"""""",""=""""5.2994568"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""0"""""",""=""""3p6.4s.5d"""""",""=""""3D"""""",""=""""1"""""",1,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""363.075"""""",""=""""17"""""",""=""""1.48e+08"""""",C+,""=""""1.8858075"""""",""=""""5.2996694"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""1"""""",""=""""3p6.4s.5d"""""",""=""""3D"""""",""=""""2"""""",3,5,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""363.097"""""",""=""""14"""""",""=""""4.59e+07"""""",C+,""=""""1.8858075"""""",""=""""5.2994568"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""1"""""",""=""""3p6.4s.5d"""""",""=""""3D"""""",""=""""1"""""",3,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""364.441"""""",""=""""20"""""",""=""""2.48e+08"""""",C+,""=""""1.8989349"""""",""=""""5.3000005"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""2"""""",""=""""3p6.4s.5d"""""",""=""""3D"""""",""=""""3"""""",5,7,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""364.477"""""",""=""""14"""""",""=""""4.7e+07"""""",C+,""=""""1.8989349"""""",""=""""5.2996694"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""2"""""",""=""""3p6.4s.5d"""""",""=""""3D"""""",""=""""2"""""",5,5,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""364.499"""""",""=""""8"""""",""=""""2.8e+06"""""",C+,""=""""1.8989349"""""",""=""""5.2994568"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""2"""""",""=""""3p6.4s.5d"""""",""=""""3D"""""",""=""""1"""""",5,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""422.673"""""",""=""""50"""""",""=""""6.54e+08"""""",B+,""=""""0.0000000"""""",""=""""2.9325120"""""",""=""""3p6.4s2"""""",""=""""1S"""""",""=""""0"""""",""=""""3p6.4s.4p"""""",""=""""1P*"""""",""=""""1"""""",1,3,,""=""""T876,T1110,T859"""""",""=""""L6097"""""","
"Ca,1,""=""""428.301"""""",""=""""24"""""",""=""""2.17e+08"""""",C+,""=""""1.8858075"""""",""=""""4.7797840"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""1"""""",""=""""3p6.4p2"""""",""=""""3P"""""",""=""""2"""""",3,5,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""428.936"""""",""=""""22"""""",""=""""1.8e+08"""""",C+,""=""""1.8793402"""""",""=""""4.7690284"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""0"""""",""=""""3p6.4p2"""""",""=""""3P"""""",""=""""1"""""",1,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""429.899"""""",""=""""22"""""",""=""""1.40e+08"""""",C+,""=""""1.8858075"""""",""=""""4.7690284"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""1"""""",""=""""3p6.4p2"""""",""=""""3P"""""",""=""""1"""""",3,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""430.253"""""",""=""""25"""""",""=""""6.80e+08"""""",C+,""=""""1.8989349"""""",""=""""4.7797840"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""2"""""",""=""""3p6.4p2"""""",""=""""3P"""""",""=""""2"""""",5,5,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""430.774"""""",""=""""23"""""",""=""""1.99e+08"""""",C+,""=""""1.8858075"""""",""=""""4.7631683"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""1"""""",""=""""3p6.4p2"""""",""=""""3P"""""",""=""""0"""""",3,1,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""431.865"""""",""=""""22"""""",""=""""2.2e+08"""""",C+,""=""""1.8989349"""""",""=""""4.7690284"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""2"""""",""=""""3p6.4p2"""""",""=""""3P"""""",""=""""1"""""",5,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","
"Ca,1,""=""""445.661"""""",""=""""20"""""",""=""""7.35e+06"""""",C+,""=""""1.8989349"""""",""=""""4.6801799"""""",""=""""3p6.4s.4p"""""",""=""""3P*"""""",""=""""2"""""",""=""""3p6.4s.4d"""""",""=""""3D"""""",""=""""1"""""",5,3,,""=""""T539n,T654n,LS"""""",""=""""L6097"""""","




















































































































































































































































































































































